"Category","Token","What we believe it means","Hydrocert Job Type","How to handle (Location/Qualifier only)","Example from notes","TQ confidence (%)","Confirmed","Comment"
"freq","M","Monthly — every month","","","Jan - M - 1pts - OT","100%","CORRECT",""
"freq","Q","Quarterly — every 3 months","","","Jun - Q - 2pts - OT, DS - 2 x LP, 2 x Micro","100%","CORRECT",""
"freq","H","Half-yearly — every 6 months","","","Mar - H - 2pts - OT, TI, DS - 3 x LP, 3 x Micro, CWST","100%","CORRECT",""
"freq","A","Annual — once per year","","","Jan - A - 6pts - PT, TI, DS - 4 x LP","100%","CORRECT",""
"freq","W","Weekly — every week","","","Weekly flushing of low used outlets - W - 1pt","100%","CORRECT",""
"freq","BiM","Bi-monthly — every 2 months","","","Feb - BiM - 2pts - OT, CT","82%","CORRECT",""
"domestic","OT","Outlet Temperature — temperature monitoring at each registered hot/cold water outlet. One inspection per outlet job.","Outlet Temperature monitoring","","Apr - M - 1pts - OT / Sep - H - 2pts - OT, TI, DS","100%","CORRECT",""
"domestic","TI","Tank Inspection — cold water storage tank inspection. Includes visual check of tank, lid, insulation, water quality. Always 6-monthly (H).","Cold Water Storage Tank inspection","","Mar - H - 2pts - OT, TI, DS - 3 x LP, 3 x Micro, CWST","100%","CORRECT",""
"domestic","CTI","Cold Tank Inspection — older synonym for TI. Identical meaning. Confirmed in legacy visits.","Cold Water Storage Tank inspection","","H - 4pts - CTI, DS","95%","CORRECT",""
"domestic","CWST (in header)","CWST — Clean and Spray disinfection. ONLY when CWST appears as a token in the header (comma-separated list). If CWST appears after 'from' in a DS description, it's a location, not a service.","Cold water storage tank - Clean and Spray disinfection form","","Mar - H - 2pts - OT, TI, CWST, DS - 3 x LP → CWST in header = Clean & Spray DS - 2 x Micro from CWST → CWST in description = location","95%","CORRECT",""
"domestic","DS","Domestic Sample — umbrella token for water sampling. Total inspections = sum of all LP + Micro + DOMESTIC + POTABLE counts that follow.","Domestic Sample (xN)","","DS - 3 x LP, 3 x Micro = 6 inspections DS - 4 x DOMESTIC Micro, 4 x LP = 8 inspections","98%","CORRECT",""
